accession,virus,viral_family,host
NC_026425,Influenza A virus (A/Shanghai/02/2013(H7N9)),Orthomyxoviridae,Homo sapiens
NC_026429,Influenza A virus (A/Shanghai/02/2013(H7N9)),Orthomyxoviridae,Homo sapiens
NC_026432,Influenza A virus (A/California/07/2009(H1N1)),Orthomyxoviridae,Homo sapiens
NC_026439,African pouched rat arterivirus,Arteriviridae,Cricetomys emini
NC_026470,mischivirus C1,Picornaviridae,Macronycteris gigas
NC_026473,Meles meles polyomavirus 1,Polyomaviridae,Meles meles
NC_026509,DeBrazza's monkey arterivirus,Arteriviridae,Cercopithecus neglectus
NC_026620,Jutiapa virus,Flaviviridae,Sigmodon hispidus
NC_026623,Cacipacore virus,Flaviviridae,Amniota
NC_026624,Sokoluk virus,Flaviviridae,Pipistrellus pipistrellus
NC_026640,Canis familiaris papillomavirus 16,Papillomaviridae,Canis lupus familiaris
NC_026662,Simian torque teno virus 31,Anelloviridae,Chlorocebus sabaeus
NC_026663,Simian torque teno virus 30,Anelloviridae,Chlorocebus sabaeus
NC_026664,Simian torque teno virus 32,Anelloviridae,Chlorocebus sabaeus
NC_026762,Bat polyomavirus 6a,Polyomaviridae,Acerodon celebensis
NC_026764,Simian torque teno virus 33,Anelloviridae,Chlorocebus sabaeus
NC_026765,Simian torque teno virus 34,Anelloviridae,Chlorocebus sabaeus
NC_026766,Bat polyomavirus 6d,Polyomaviridae,Pteropus sp.
NC_026767,bat polyomavirus 5b1,Polyomaviridae,Pteropus vampyrus
NC_026768,Bat polyomavirus 5a,Polyomaviridae,Dobsonia moluccensis
NC_026769,Bat polyomavirus 6c,Polyomaviridae,Dobsonia moluccensis
NC_026770,Bat polyomavirus 6b,Polyomaviridae,Dobsonia moluccensis
NC_026797,Bovine hepacivirus,Flaviviridae,Bos taurus
NC_026806,Badger associated gemykibivirus 1,Genomoviridae,Meles meles
NC_026807,Mongoose feces-associated gemycircularvirus a,Genomoviridae,Herpestes ichneumon
NC_026808,Mongoose feces-associated gemycircularvirus b,Genomoviridae,Herpestes ichneumon
NC_026809,Mongoose feces-associated gemycircularvirus c,Genomoviridae,Herpestes ichneumon
NC_024450,Falconid herpesvirus 1,Orthoherpesviridae,Falco mexicanus
NC_024452,Chicken parvovirus ABU-P1,Parvoviridae,Gallus gallus
NC_024454,Turkey parvovirus 1078,Parvoviridae,Meleagris gallopavo
NC_024472,Human astrovirus BF34,Astroviridae,Homo sapiens
NC_024474,Pigeon adenovirus 1,Adenoviridae,Columbidae
NC_024486,Duck adenovirus 2,Adenoviridae,Cairina moschata
NC_024498,Bovine astrovirus CH13,Astroviridae,Bos
NC_024499,Umatilla virus,Sedoreoviridae,Aves
NC_024500,Umatilla virus,Sedoreoviridae,Aves
NC_024503,Umatilla virus,Sedoreoviridae,Aves
NC_024504,Umatilla virus,Sedoreoviridae,Aves
NC_024505,Umatilla virus,Sedoreoviridae,Aves
NC_024506,Umatilla virus,Sedoreoviridae,Aves
NC_024507,Umatilla virus,Sedoreoviridae,Aves
NC_024508,Umatilla virus,Sedoreoviridae,Aves
NC_024509,Umatilla virus,Sedoreoviridae,Aves
NC_024510,Umatilla virus,Sedoreoviridae,Aves
NC_024684,Lizard adenovirus 2,Adenoviridae,Heloderma horridum
NC_024689,Bovine associated gemykibivirus 1,Genomoviridae,Bos taurus
NC_024690,HCBI9.212 virus,Genomoviridae,Bos taurus
NC_024691,MSSI2.225 virus,Genomoviridae,Homo sapiens
NC_024694,Human circovirus VS6600022,Circoviridae,Homo sapiens
NC_024696,Elephant endotheliotropic herpesvirus 5,Orthoherpesviridae,Elephas maximus
NC_024700,Feline cyclovirus,Circoviridae,Felis catus
NC_024701,Feline astrovirus D1,Astroviridae,Felis catus
NC_024709,Ball python nidovirus 1,Tobaniviridae,Python regius
NC_024765,Chicken picornavirus 1,Picornaviridae,Gallus gallus
NC_024766,avisivirus B1,Picornaviridae,Gallus gallus
NC_024767,avisivirus C1,Picornaviridae,Gallus gallus
NC_024768,Chicken picornavirus 4,Picornaviridae,Gallus gallus
NC_024769,megrivirus C2,Picornaviridae,Gallus gallus
NC_024771,Equid alphaherpesvirus 3,Orthoherpesviridae,Equus caballus
NC_024772,Porcine associated porprismacovirus 5,Smacoviridae,Sus scrofa
NC_024773,Porcine associated porprismacovirus 7,Smacoviridae,Sus scrofa
NC_024774,Porcine associated porprismacovirus 9,Smacoviridae,Sus scrofa
NC_024775,Porcine associated porprismacovirus 8,Smacoviridae,Sus scrofa
NC_024776,Porcine associated porprismacovirus 6,Smacoviridae,Sus scrofa
NC_024778,Loveridge's garter snake virus 1,Bornaviridae,Elapsoidea loveridgei
NC_024888,Bufavirus-3,Parvoviridae,Homo sapiens
NC_024889,Equine hepacivirus JPN3/JAPAN/2013,Flaviviridae,Equus caballus
NC_024890,Seal anellovirus 3,Anelloviridae,Phoca vitulina
NC_024891,Seal anellovirus 2,Anelloviridae,Phoca vitulina
NC_024893,Apodemus sylvaticus papillomavirus 1,Papillomaviridae,Apodemus sylvaticus
NC_024907,Ancient caribou feces associated virus,,Rangifer tarandus
NC_024908,Torque teno Tadarida brasiliensis virus,Anelloviridae,Tadarida brasiliensis
NC_024909,Caribou associated gemykrogvirus 1,Genomoviridae,Rangifer tarandus
NC_025112,Mikumi yellow baboon virus 1,Arteriviridae,Papio cynocephalus
NC_025113,Southwest baboon virus 1,Arteriviridae,Papio anubis
NC_018481,CAS virus,Arenaviridae,Corallus annulatus
NC_018484,CAS virus,Arenaviridae,Corallus annulatus
NC_018482,Golden Gate virus,Arenaviridae,Boa constrictor
NC_018483,Golden Gate virus,Arenaviridae,Boa constrictor
NC_018506,limnipivirus A1,Picornaviridae,Lepomis macrochirus
NC_018575,Crocuta crocuta papillomavirus 1,Papillomaviridae,Crocuta crocuta
NC_018617,Porcine associated porprismacovirus 1,Smacoviridae,Sus scrofa
NC_018629,Ikoma lyssavirus,Rhabdoviridae,Civettictis civetta
NC_018668,hunnivirus A1,Picornaviridae,Bos
NC_018702,Murine astrovirus,Astroviridae,Mus musculus
NC_018705,Ntaya virus,Flaviviridae,Euarchontoglires
NC_018710,Lunk virus NKS-1,Arenaviridae,Mus minutoides
NC_018711,Lunk virus NKS-1,Arenaviridae,Mus minutoides
NC_018713,Aydin-like pestivirus,Flaviviridae,Ovis aries
NC_018871,Rousettus bat coronavirus HKU10,Coronaviridae,Chiroptera
NC_019023,human papillomavirus 166,Papillomaviridae,Homo sapiens
NC_019026,Astrovirus VA3,Astroviridae,Homo sapiens
NC_019027,Astrovirus VA4,Astroviridae,Homo sapiens
NC_019028,Astrovirus MLB3,Astroviridae,Homo sapiens
NC_019491,Cyprinid herpesvirus 1,Alloherpesviridae,Cyprinus carpio
NC_019494,Porcine astrovirus 3,Astroviridae,Sus scrofa
NC_019495,Cyprinid herpesvirus 2,Alloherpesviridae,Carassius auratus
NC_019559,Murid betaherpesvirus 8,Orthoherpesviridae,Rattus
NC_019712,Mink calicivirus,Caliciviridae,Mustelinae
NC_019844,Alphapolyomavirus chlopygerythrus,Polyomaviridae,Chlorocebus pygerythrus
NC_019851,Macaca fascicularis polyomavirus 1,Polyomaviridae,Macaca fascicularis
NC_019852,Canis familiaris papillomavirus 14,Papillomaviridae,Canis lupus familiaris
NC_019853,Alphapolyomavirus apaniscus,Polyomaviridae,Ateles paniscus
NC_019854,Betapolyomavirus calbifrons,Polyomaviridae,Cebus albifrons
NC_019855,Alphapolyomavirus quartipanos,Polyomaviridae,Pan troglodytes verus
NC_019856,Alphapolyomavirus quintipanos,Polyomaviridae,Pan troglodytes verus
NC_019857,Alphapolyomavirus sextipanos,Polyomaviridae,Pan troglodytes verus
NC_019858,Alphapolyomavirus septipanos,Polyomaviridae,Pan troglodytes schweinfurthii
NC_020065,Chaerephon polyomavirus 1,Polyomaviridae,Chaerephon
NC_020066,Otomops polyomavirus KY156,Polyomaviridae,Otomops martiensseni
NC_020067,Alphapolyomavirus cardiodermae,Polyomaviridae,Chiroptera
NC_020068,Eidolon polyomavirus 1,Polyomaviridae,Chiroptera
NC_020069,Betapolyomavirus mafricanus,Polyomaviridae,Chiroptera
NC_020070,Betapolyomavirus ptedavyi,Polyomaviridae,Chiroptera
NC_020071,Otomops polyomavirus KY157,Polyomaviridae,Chiroptera
NC_020074,Bovine adenovirus 6,Adenoviridae,Bos taurus
NC_020084,Equus caballus papillomavirus 5,Papillomaviridae,Equus caballus
NC_020085,Equus caballus papillomavirus 4,Papillomaviridae,Equus caballus
NC_020106,STL polyomavirus,Polyomaviridae,Homo sapiens
NC_020231,Caviid betaherpesvirus 2,Orthoherpesviridae,Cavia porcellus
NC_020439,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_020440,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_020441,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_020442,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_020443,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_020445,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_020447,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_020448,Melaka orthoreovirus,Spinareoviridae,Boreoeutheria
NC_078559,Khurdun virus,Peribunyaviridae,Fulica atra
NC_078560,Khurdun virus,Peribunyaviridae,Fulica atra
NC_078561,Khurdun virus,Peribunyaviridae,Fulica atra
NC_078565,Largemouth bass bunyavirus,Peribunyaviridae,Micropterus salmoides
NC_078566,Largemouth bass bunyavirus,Peribunyaviridae,Micropterus salmoides
NC_078567,Largemouth bass bunyavirus,Peribunyaviridae,Micropterus salmoides
NC_078605,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_078606,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_078607,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_078608,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_078609,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_078610,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_078611,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_078612,Pilchard orthomyxovirus,Orthomyxoviridae,Salmo salar
NC_076533,Mexican black-tailed rattlesnake bornavirus,Bornaviridae,Crotalus molossus nigrescens
NC_076534,Anole lyssa-like virus 1,Rhabdoviridae,Anolis allogus
NC_076535,Tapajos virus,Filoviridae,Bothrops atrox
NC_076558,Miniopterus schreibersii paramyxovirus,Paramyxoviridae,Miniopterus schreibersii
NC_076569,Bat hepatitis E virus,Hepeviridae,Chiroptera
NC_076918,Bat hepatitis E virus,Hepeviridae,Chiroptera
NC_076570,Bat paramyxovirus,Paramyxoviridae,Chiroptera
NC_076624,Bat paramyxovirus,Paramyxoviridae,Chiroptera
NC_076625,Bat paramyxovirus,Paramyxoviridae,Chiroptera
NC_075983,Bat paramyxovirus,Paramyxoviridae,Chiroptera
NC_076586,Eelpout rhabdovirus,Rhabdoviridae,Zoarcidae
NC_076597,Rodent paramyxovirus,Paramyxoviridae,Apodemus peninsulae
NC_076605,Feline paramyxovirus 163,Paramyxoviridae,Felis catus
NC_076623,Rocahepevirus ratti,Hepeviridae,Eothenomys melanogaster
NC_076626,Circular ssDNA virus sp.,,Homo sapiens
NC_030449,Circular ssDNA virus sp.,,Homo sapiens
NC_076627,Wuhan redfin culter dimarhabdovirus,Rhabdoviridae,Chanodichthys erythropterus
NC_076637,Trionyx sinensis hemorrhagic syndrome virus,Cremegaviridae,Pelodiscus sinensis
NC_076657,Morelia viridis nidovirus,Tobaniviridae,Morelia viridis
NC_035465,Morelia viridis nidovirus,Tobaniviridae,Morelia viridis
NC_076684,Alphacoronavirus sp.,Coronaviridae,Yangochiroptera
NC_076685,Alphacoronavirus sp.,Coronaviridae,Yangochiroptera
NC_054003,Alphacoronavirus sp.,Coronaviridae,Yangochiroptera
NC_076686,Frog lyssa-like virus 1,Rhabdoviridae,Dryophytes cinereus
NC_076697,Pacific salmon nidovirus,Coronaviridae,Oncorhynchus tshawytscha
NC_076698,Amsterdam virus,Lispiviridae,Mus musculus
NC_076706,Northern red-backed vole stool-associated circular virus 11,Vilyaviridae,Clethrionomys rutilus
NC_076707,Northern red-backed vole stool-associated circular virus 16,Vilyaviridae,Clethrionomys rutilus
NC_076708,Northern red-backed vole stool-associated circular virus 116,Vilyaviridae,Clethrionomys rutilus
NC_076709,Northern red-backed vole stool-associated circular virus 117,Vilyaviridae,Clethrionomys rutilus
NC_076714,Jeremy Point nyavirus,Nyamiviridae,Somateria mollissima
NC_076720,Harbour porpoise rhabdovirus,Rhabdoviridae,Phocoena phocoena
NC_076721,Southern Psittacara leucophthalmus aviadenovirus,Adenoviridae,Psittacara leucophthalmus
NC_076722,Serpentovirinae sp.,Tobaniviridae,Serpentes
NC_076723,Serpentovirinae sp.,Tobaniviridae,Serpentes
NC_076724,Serpentovirinae sp.,Tobaniviridae,Serpentes
NC_076730,Chicken virus mg5_2876,Naryaviridae,Gallus gallus
NC_076734,Fiwi virus,Filoviridae,Perca fluviatilis
NC_076735,Oberland virus,Filoviridae,Perca fluviatilis
NC_076841,Taiyi bat virus,Rhabdoviridae,Rhinolophus sinicus
NC_076842,Yinshui bat virus,Rhabdoviridae,Rhinolophus sinicus
NC_076867,Perhabdovirus perca,Rhabdoviridae,Percidae
NC_020803,Perhabdovirus perca,Rhabdoviridae,Percidae
NC_076880,Marmot associated feces virus 4,Naryaviridae,Marmota flaviventris
NC_076910,Snake melon asteroid mosaic virus,Solemoviridae,Serpentes
NC_076911,Veiled chameleon serpentovirus B,Tobaniviridae,Chamaeleo calyptratus
NC_076912,Veiled chameleon serpentovirus A,Tobaniviridae,Chamaeleo calyptratus
NC_076916,Kander virus,Filoviridae,Perca fluviatilis
NC_076932,Sandjimba virus,Rhabdoviridae,Aves
NC_076933,Nasoule virus,Rhabdoviridae,Amniota
NC_076934,Bimbo virus,Rhabdoviridae,Amniota
NC_076935,Kolongo virus,Rhabdoviridae,Aves
NC_076936,Ouango virus,Rhabdoviridae,Amniota
NC_076937,Burg el Arab virus,Rhabdoviridae,Curruca curruca
NC_076938,Matariya virus,Rhabdoviridae,Curruca curruca
NC_076939,Mediterranean bat virus,Rhabdoviridae,Chiroptera
NC_076941,Ruloma virus,Paramyxoviridae,Lophuromys machangui
NC_076942,Torque teno equus virus 2,Anelloviridae,Equus caballus
NC_076951,Belerina virus,Paramyxoviridae,Erinaceus europaeus
NC_076963,macacine gammaherpesvirus 13,Orthoherpesviridae,Macaca arctoides
NC_076964,Equid herpesvirus 6,Orthoherpesviridae,Equus asinus
NC_076965,pteropodid alphaherpesvirus 2,Orthoherpesviridae,Pteropus lylei
NC_076966,Cacatuid alphaherpesvirus 2,Orthoherpesviridae,Amazona oratrix
NC_076967,Colobine gammaherpesvirus 1,Orthoherpesviridae,Colobus guereza
NC_076968,Macropodid alphaherpesvirus 4,Orthoherpesviridae,Macropus giganteus
NC_076995,Canine bocavirus 3,Parvoviridae,Canis lupus familiaris
NC_076998,Human CSF-associated densovirus,Parvoviridae,Homo sapiens
NC_076999,Lupine feces-associated densovirus 2,Parvoviridae,Canis lupus signatus
NC_077000,Rodent pestivirus,Flaviviridae,Murinae
NC_077001,Rodent pestivirus,Flaviviridae,Murinae
NC_077009,Rodent tetraparvovirus,Parvoviridae,Sigmodontinae
NC_077010,Opossum tetraparvovirus,Parvoviridae,Didelphis albiventris
NC_077011,Pileated finch aveparvovirus,Parvoviridae,Coryphospingus pileatus
NC_077012,Rodent bocavirus,Parvoviridae,Sigmodontinae
NC_077013,Desmodus rotundus dependoparvovirus,Parvoviridae,Desmodus rotundus
NC_077015,Bat pestivirus BtSk-PestV-1/GX2017,Flaviviridae,Scotophilus kuhlii
NC_077023,Pestivirus sp.,Flaviviridae,Ovis aries
NC_077026,Phocoena pestivirus,Flaviviridae,Phocoena phocoena
NC_077028,Psittacid alphaherpesvirus 5,Orthoherpesviridae,Psittacula krameri
NC_077029,Ambidensovirus_Croatia_17_S17,Parvoviridae,Miniopterus schreibersii
NC_077030,Werosea circovirus,Circoviridae,Leptonychotes weddellii
NC_077031,Ursus americanus parvovirus,Parvoviridae,Ursus americanus
NC_077032,Avian chapparvovirus,Parvoviridae,Aves
MT135354,Microvirus sp.,Microviridae,Sus scrofa
MT135355,Microvirus sp.,Microviridae,Sus scrofa
MT135356,Microvirus sp.,Microviridae,Sus scrofa
MT135357,Microvirus sp.,Microviridae,Sus scrofa
MT135358,Microvirus sp.,Microviridae,Sus scrofa
MT135359,Microvirus sp.,Microviridae,Sus scrofa
MT135360,Microvirus sp.,Microviridae,Sus scrofa
MT135361,Microvirus sp.,Microviridae,Sus scrofa
MT135362,Microvirus sp.,Microviridae,Sus scrofa
MT135363,Microvirus sp.,Microviridae,Sus scrofa
MT135364,Microvirus sp.,Microviridae,Sus scrofa
MT135365,Microvirus sp.,Microviridae,Sus scrofa
MT135366,Microvirus sp.,Microviridae,Sus scrofa
MT135367,Microvirus sp.,Microviridae,Sus scrofa
MT135368,Microvirus sp.,Microviridae,Sus scrofa
MT135369,Microvirus sp.,Microviridae,Sus scrofa
MT135370,Microvirus sp.,Microviridae,Sus scrofa
MT135371,Microvirus sp.,Microviridae,Sus scrofa
MT135372,Microvirus sp.,Microviridae,Sus scrofa
MT135373,Microvirus sp.,Microviridae,Sus scrofa
MT135374,Microvirus sp.,Microviridae,Sus scrofa
MT135375,Microvirus sp.,Microviridae,Sus scrofa
MT135376,Microvirus sp.,Microviridae,Sus scrofa
MT135377,Microvirus sp.,Microviridae,Sus scrofa
MT135378,Microvirus sp.,Microviridae,Sus scrofa
MT135379,Microvirus sp.,Microviridae,Sus scrofa
MT135380,Microvirus sp.,Microviridae,Sus scrofa
MT135381,Microvirus sp.,Microviridae,Sus scrofa
MT135382,Microvirus sp.,Microviridae,Sus scrofa
MT135383,Microvirus sp.,Microviridae,Sus scrofa
MT135326,Microvirus sp.,Microviridae,Sus scrofa
MT135327,Microvirus sp.,Microviridae,Sus scrofa
MT135328,Microvirus sp.,Microviridae,Sus scrofa
MT135329,Microvirus sp.,Microviridae,Sus scrofa
MT135330,Microvirus sp.,Microviridae,Sus scrofa
MT135331,Microvirus sp.,Microviridae,Sus scrofa
MT135332,Microvirus sp.,Microviridae,Sus scrofa
MT135333,Microvirus sp.,Microviridae,Sus scrofa
MT135334,Microvirus sp.,Microviridae,Sus scrofa
MT135335,Microvirus sp.,Microviridae,Sus scrofa
MT135336,Microvirus sp.,Microviridae,Sus scrofa
MT135337,Microvirus sp.,Microviridae,Sus scrofa
MT135338,Microvirus sp.,Microviridae,Sus scrofa
MT135339,Microvirus sp.,Microviridae,Sus scrofa
MT135340,Microvirus sp.,Microviridae,Sus scrofa
MT135341,Microvirus sp.,Microviridae,Sus scrofa
MT135342,Microvirus sp.,Microviridae,Sus scrofa
MT135343,Microvirus sp.,Microviridae,Sus scrofa
MT135344,Microvirus sp.,Microviridae,Sus scrofa
MT135345,Microvirus sp.,Microviridae,Sus scrofa
MT135346,Microvirus sp.,Microviridae,Sus scrofa
MT135347,Microvirus sp.,Microviridae,Sus scrofa
MT135348,Microvirus sp.,Microviridae,Sus scrofa
MT135349,Microvirus sp.,Microviridae,Sus scrofa
MT135350,Microvirus sp.,Microviridae,Sus scrofa
MT135351,Microvirus sp.,Microviridae,Sus scrofa
MT135352,Microvirus sp.,Microviridae,Sus scrofa
MT135353,Microvirus sp.,Microviridae,Sus scrofa
OP549864,Microvirus sp.,Microviridae,Homo sapiens
OP549865,Microvirus sp.,Microviridae,Homo sapiens
OP549866,Microvirus sp.,Microviridae,Homo sapiens
OP549867,Microvirus sp.,Microviridae,Homo sapiens
OP549868,Microvirus sp.,Microviridae,Homo sapiens
OP549869,Microvirus sp.,Microviridae,Homo sapiens
OP549870,Microvirus sp.,Microviridae,Homo sapiens
OP549876,Microvirus sp.,Microviridae,Homo sapiens
OP549878,Microvirus sp.,Microviridae,Homo sapiens
OP549879,Microvirus sp.,Microviridae,Homo sapiens
MT135384,Microvirus sp.,Microviridae,Sus scrofa
MT135385,Microvirus sp.,Microviridae,Sus scrofa
MT135386,Microvirus sp.,Microviridae,Sus scrofa
MT135387,Microvirus sp.,Microviridae,Sus scrofa
MT135388,Microvirus sp.,Microviridae,Sus scrofa
MT135389,Microvirus sp.,Microviridae,Sus scrofa
MT135390,Microvirus sp.,Microviridae,Sus scrofa
MT135391,Microvirus sp.,Microviridae,Sus scrofa
MT135392,Microvirus sp.,Microviridae,Sus scrofa
MT135393,Microvirus sp.,Microviridae,Sus scrofa
MT135394,Microvirus sp.,Microviridae,Sus scrofa
MT135395,Microvirus sp.,Microviridae,Sus scrofa
MT135396,Microvirus sp.,Microviridae,Sus scrofa
MT135397,Microvirus sp.,Microviridae,Sus scrofa
MT135398,Microvirus sp.,Microviridae,Sus scrofa
MT135399,Microvirus sp.,Microviridae,Sus scrofa
MT135400,Microvirus sp.,Microviridae,Sus scrofa
MT135401,Microvirus sp.,Microviridae,Sus scrofa
MT135402,Microvirus sp.,Microviridae,Sus scrofa
MT135403,Microvirus sp.,Microviridae,Sus scrofa
MT135404,Microvirus sp.,Microviridae,Sus scrofa
MT135405,Microvirus sp.,Microviridae,Sus scrofa
MT135406,Microvirus sp.,Microviridae,Sus scrofa
MT135407,Microvirus sp.,Microviridae,Sus scrofa
MT135408,Microvirus sp.,Microviridae,Sus scrofa
MT135409,Microvirus sp.,Microviridae,Sus scrofa
MT135410,Microvirus sp.,Microviridae,Sus scrofa
MT135411,Microvirus sp.,Microviridae,Sus scrofa
MT135412,Microvirus sp.,Microviridae,Sus scrofa
MT135413,Microvirus sp.,Microviridae,Sus scrofa
MT135414,Microvirus sp.,Microviridae,Sus scrofa
MT135415,Microvirus sp.,Microviridae,Sus scrofa
MT135416,Microvirus sp.,Microviridae,Sus scrofa
MT135417,Microvirus sp.,Microviridae,Sus scrofa
MT135418,Microvirus sp.,Microviridae,Sus scrofa
MT135419,Microvirus sp.,Microviridae,Sus scrofa
MT135420,Microvirus sp.,Microviridae,Sus scrofa
MT135421,Microvirus sp.,Microviridae,Sus scrofa
MT135422,Microvirus sp.,Microviridae,Sus scrofa
MT135423,Microvirus sp.,Microviridae,Sus scrofa
MT135424,Microvirus sp.,Microviridae,Sus scrofa
MT135425,Microvirus sp.,Microviridae,Sus scrofa
MT135426,Microvirus sp.,Microviridae,Sus scrofa
MT135427,Microvirus sp.,Microviridae,Sus scrofa
MT135428,Microvirus sp.,Microviridae,Sus scrofa
MT135429,Microvirus sp.,Microviridae,Sus scrofa
MT135430,Microvirus sp.,Microviridae,Sus scrofa
MT135431,Microvirus sp.,Microviridae,Sus scrofa
MT135432,Microvirus sp.,Microviridae,Sus scrofa
MT135433,Microvirus sp.,Microviridae,Sus scrofa
MT135434,Microvirus sp.,Microviridae,Sus scrofa
MT135435,Microvirus sp.,Microviridae,Sus scrofa
MT135436,Microvirus sp.,Microviridae,Sus scrofa
MT135437,Microvirus sp.,Microviridae,Sus scrofa
MT135438,Microvirus sp.,Microviridae,Sus scrofa
MT135439,Microvirus sp.,Microviridae,Sus scrofa
MT135440,Microvirus sp.,Microviridae,Sus scrofa
MT135441,Microvirus sp.,Microviridae,Sus scrofa
MT135442,Microvirus sp.,Microviridae,Sus scrofa
MT135443,Microvirus sp.,Microviridae,Sus scrofa
MT135444,Microvirus sp.,Microviridae,Sus scrofa
MT135445,Microvirus sp.,Microviridae,Sus scrofa
MT135446,Microvirus sp.,Microviridae,Sus scrofa
MT135447,Microvirus sp.,Microviridae,Sus scrofa
MT135448,Microvirus sp.,Microviridae,Sus scrofa
MT135449,Microvirus sp.,Microviridae,Sus scrofa
MT135450,Microvirus sp.,Microviridae,Sus scrofa
MT135451,Microvirus sp.,Microviridae,Sus scrofa
MT135452,Microvirus sp.,Microviridae,Sus scrofa
MT135453,Microvirus sp.,Microviridae,Sus scrofa
MT135454,Microvirus sp.,Microviridae,Sus scrofa
MT135455,Microvirus sp.,Microviridae,Sus scrofa
MT135456,Microvirus sp.,Microviridae,Sus scrofa
MT135457,Microvirus sp.,Microviridae,Sus scrofa
MT135458,Microvirus sp.,Microviridae,Sus scrofa
MT135459,Microvirus sp.,Microviridae,Sus scrofa
MT135460,Microvirus sp.,Microviridae,Sus scrofa
MT135461,Microvirus sp.,Microviridae,Sus scrofa
MT135462,Microvirus sp.,Microviridae,Sus scrofa
MT135463,Microvirus sp.,Microviridae,Sus scrofa
MT135464,Microvirus sp.,Microviridae,Sus scrofa
NC_011349,Senecavirus A,Picornaviridae,Sus scrofa
NC_011500,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011501,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011502,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011503,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011504,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011505,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011506,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011507,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011508,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011509,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011510,Rotavirus A,Sedoreoviridae,Boreoeutheria
NC_011530,Caretta caretta papillomavirus 1,Papillomaviridae,Caretta caretta
NC_011546,Simian T-cell lymphotropic virus 6,Retroviridae,Cercopithecus mona
NC_011547,Bulbul coronavirus HKU11-934,Coronaviridae,Pycnonotus
NC_011549,Thrush coronavirus HKU12-600,Coronaviridae,Turdus
NC_011550,Munia coronavirus HKU13-3514,Coronaviridae,Lonchura striata
NC_011644,Equid alphaherpesvirus 9,Orthoherpesviridae,Equus
NC_011704,Rabbit calicivirus Australia 1 MIC-07,Caliciviridae,Oryctolagus cuniculus
NC_011765,Erinaceus europaeus papillomavirus 1,Papillomaviridae,Erinaceus europaeus
NC_012094,Sea turtle tornovirus 1,,Chelonia mydas
NC_012123,Equus caballus papillomavirus 2,Papillomaviridae,Equus caballus
NC_012126,Torque teno zalophus virus 1,Anelloviridae,Zalophus californianus
NC_012213,human papillomavirus 108,Papillomaviridae,Homo sapiens
NC_012485,Human papillomavirus 109,Papillomaviridae,Homo sapiens
NC_012486,human papillomavirus 112,Papillomaviridae,Homo sapiens
NC_012561,Highlands J virus,Togaviridae,Buteo jamaicensis
NC_012564,Human bocavirus 3,Parvoviridae,Homo sapiens
NC_012584,Murine adenovirus 3,Adenoviridae,Apodemus agrarius
NC_012699,Calicivirus pig/AB90/CAN,Caliciviridae,Sus scrofa
NC_012729,Human bocavirus 4 NI,Parvoviridae,Homo sapiens
NC_012735,Wesselsbron virus,Flaviviridae,Euarchontoglires
NC_012776,Mammarenavirus lujoense,Arenaviridae,Homo sapiens
NC_012777,Mammarenavirus lujoense,Arenaviridae,Homo sapiens
NC_012783,Cercopithecine betaherpesvirus 5,Orthoherpesviridae,Catarrhini
NC_012798,Cosavirus E,Picornaviridae,Homo sapiens
NC_012800,Cosavirus A,Picornaviridae,Homo sapiens
NC_012801,Human cosavirus B,Picornaviridae,Homo sapiens
NC_012802,Cosavirus D,Picornaviridae,Homo sapiens
NC_012812,Bovine viral diarrhea virus 3 Th/04_KhonKaen,Flaviviridae,Bos taurus
NC_012959,Human adenovirus 54,Adenoviridae,Homo sapiens
NC_012986,Salivirus A,Picornaviridae,Homo sapiens
NC_013035,Human papillomavirus 116,Papillomaviridae,Homo sapiens
NC_013057,Morogoro mammarenavirus,Arenaviridae,Mastomys natalensis
NC_013058,Morogoro mammarenavirus,Arenaviridae,Mastomys natalensis
NC_013060,Astrovirus VA1,Astroviridae,Homo sapiens
